STATE_NAME,COUNTY_NAME,TOTAL_POPULATION,RUCC
North Carolina,Craven,100674,4
North Carolina,McDowell,44717,6
North Carolina,Polk,19656,8
Oklahoma,Muskogee,66146,4
North Dakota,Mercer,8323,8
Ohio,Paulding,18871,8
North Dakota,Cass,186562,3
Oklahoma,Major,7668,8
Oregon,Clatsop,41810,4
Oregon,Clackamas,422537,1
North Dakota,Divide,2188,9
North Dakota,Adams,2167,9
Oklahoma,Beckham,22046,7
Oregon,Baker,16847,7
Oklahoma,Wagoner,84050,1
Ohio,Defiance,38144,6
Ohio,Franklin,1321414,1
Ohio,Logan,46035,4
Ohio,Fairfield,161064,1
Oklahoma,Pittsburg,43633,7
Ohio,Van Wert,28732,6
Oklahoma,Creek,72029,1
Oklahoma,Jefferson,5438,8
Oregon,Lincoln,50862,5
North Dakota,Morton,33611,3
Ohio,Monroe,13329,8
North Dakota,Sargent,3829,9
Oklahoma,Love,10216,9
Ohio,Ottawa,40104,3
North Dakota,Grand Forks,72705,3
North Dakota,Kidder,2369,8
Oklahoma,Tulsa,672858,1
Ohio,Delaware,220740,1
Ohio,Fayette,28906,6
North Dakota,Eddy,2337,9
Ohio,Vinton,12696,8
North Dakota,Renville,2266,3
Oregon,Deschutes,204801,3
Oklahoma,Payne,81989,4
Ohio,Richland,125195,3
North Dakota,Pierce,3953,9
Oklahoma,Johnston,10301,9
Ohio,Greene,168412,2
Oklahoma,Kiowa,8410,8
North Dakota,Wells,3905,9
Oklahoma,Blaine,8562,8
Ohio,Ashland,52316,6
Oklahoma,Texas,20865,7
North Dakota,Hettinger,2430,9
Oklahoma,Woods,8583,7
North Dakota,Griggs,2281,9
Ohio,Ashtabula,97337,1
North Dakota,Oliver,1873,3
Ohio,Preble,40867,6
Oklahoma,Pushmataha,10815,9
Ohio,Seneca,54906,4
North Dakota,Dickey,4897,9
Oregon,Benton,96017,3
Oklahoma,Sequoyah,39508,3
Oregon,Morrow,12303,8
Ohio,Brown,43662,1
Oregon,Klamath,70164,5
Ohio,Medina,183092,1
Oregon,Linn,129839,3
Ohio,Belmont,65849,3
North Dakota,Williams,38484,5
North Dakota,McHenry,5249,3
Oklahoma,Cleveland,297597,1
Oklahoma,Alfalfa,5710,8
Oklahoma,Latimer,9427,9
North Dakota,LaMoure,4066,9
Oregon,Lane,383189,2
Oklahoma,Mayes,39159,6
Oregon,Crook,25739,3
North Dakota,McLean,9796,8
Ohio,Huron,58367,4
Oklahoma,Le Flore,48476,6
Ohio,Ross,76891,4
North Dakota,Grant,2323,8
Oklahoma,Pawnee,15741,1
Ohio,Lorain,315595,1
Oklahoma,Atoka,14324,9
Ohio,Darke,51597,6
Ohio,Hardin,30621,6
North Dakota,Burleigh,98933,3
Ohio,Montgomery,535840,2
Ohio,Coshocton,36618,7
Ohio,Wyandot,21708,7
Oklahoma,Woodward,20205,7
Ohio,Shelby,47977,4
Ohio,Erie,74852,3
Ohio,Jefferson,64789,3
Oregon,Coos,64999,5
Oklahoma,Nowata,9303,8
Oregon,Grant,7272,9
Ohio,Allen,101670,3
Ohio,Guernsey,38287,6
Ohio,Gallia,29158,6
Oklahoma,Kay,43732,4
Oklahoma,Kingfisher,15204,8
Ohio,Licking,180401,1
Ohio,Muskingum,86408,4
Oregon,Lake,8276,9
Oklahoma,Dewey,4417,9
North Dakota,Bottineau,6390,8
Ohio,Sandusky,58715,4
Ohio,Washington,59423,4
North Dakota,Ransom,5675,8
Oklahoma,Harmon,2418,9
Ohio,Clark,135633,3
North Dakota,Barnes,10806,6
Oklahoma,Haskell,11602,8
Ohio,Hocking,28097,1
North Dakota,Richland,16560,6
Oklahoma,Greer,5487,9
Oklahoma,McIntosh,19245,8
North Dakota,Logan,1883,9
North Dakota,Foster,3364,9
Ohio,Wayne,116710,4
Ohio,Wood,132472,2
Oklahoma,Cimarron,2248,9
North Dakota,Mountrail,9576,8
Ohio,Meigs,22049,8
Ohio,Butler,390234,1
Oregon,Gilliam,2005,9
Oklahoma,McCurtain,30884,7
Ohio,Tuscarawas,92500,4
Oregon,Jefferson,25068,3
Oklahoma,Roger Mills,3386,9
North Dakota,Stark,33046,5
Ohio,Summit,537633,2
North Dakota,Cavalier,3662,9
Ohio,Adams,27542,8
Ohio,Fulton,42450,2
Oklahoma,Washita,10915,9
Ohio,Union,64971,1
Oklahoma,Stephens,43129,4
Ohio,Putnam,34318,6
North Dakota,Rolette,12048,9
Oregon,Marion,347119,2
Oregon,Harney,7575,9
Oklahoma,McClain,43516,1
Ohio,Clermont,209642,1
North Dakota,McKenzie,13819,7
Oklahoma,Tillman,7076,8
Ohio,Miami,109264,2
Oregon,Malheur,31693,6
Ohio,Henry,27538,6
Oklahoma,Carter,48291,5
Ohio,Madison,44386,1
Ohio,Hamilton,826139,1
Oklahoma,Pontotoc,38163,7
Ohio,Morrow,35151,1
Oklahoma,Seminole,23567,7
Ohio,Marion,65291,4
Ohio,Cuyahoga,1249387,1
Oklahoma,Okmulgee,36843,1
Ohio,Perry,35460,1
North Dakota,Traill,8003,8
Oklahoma,Custer,28163,5
North Dakota,Steele,1810,8
Oklahoma,Grady,55508,1
Oklahoma,Ellis,3762,9
North Dakota,Bowman,2903,9
North Dakota,Ward,69071,3
Ohio,Holmes,44271,9
Oregon,Columbia,53074,1
North Dakota,Emmons,3271,8
Ohio,Williams,36716,7
Ohio,Champaign,38699,6
Oklahoma,Garfield,61926,3
Oklahoma,Rogers,96695,1
Oklahoma,Adair,19414,8
North Dakota,Sioux,3738,9
Ohio,Mercer,42309,7
North Dakota,Nelson,3054,8
Oklahoma,Okfuskee,11197,8
North Dakota,Golden Valley,1770,9
Oklahoma,Cherokee,47627,6
Ohio,Hancock,74656,4
Oklahoma,Choctaw,14307,9
Oregon,Jackson,223734,3
Ohio,Athens,62056,4
Oklahoma,Beaver,4980,9
North Dakota,Stutsman,21576,7
North Dakota,Walsh,10469,8
Oklahoma,Murray,13718,9
North Dakota,Billings,955,9
North Dakota,Benson,5809,9
Ohio,Mahoning,226762,2
Ohio,Lake,232023,1
Oregon,Josephine,88346,3
Ohio,Trumbull,201335,2
Oregon,Douglas,111978,4
Oklahoma,Coal,5276,9
North Dakota,Towner,2140,9
Ohio,Pike,27089,9
Oklahoma,Grant,4131,8
Ohio,Harrison,14477,8
Oklahoma,Craig,14115,6
Oklahoma,Noble,10933,8
North Dakota,Burke,2158,8
North Dakota,Pembina,6767,9
Oklahoma,Bryan,47105,6
Oregon,Hood River,24057,6
North Dakota,Dunn,4035,9
Ohio,Crawford,41754,4
Ohio,Warren,246553,1
Ohio,Geauga,95565,1
Oklahoma,Delaware,41000,6
Oklahoma,Ottawa,30340,6
Ohio,Knox,62897,6
Ohio,Noble,14176,9
Ohio,Carroll,26691,2
Oklahoma,Comanche,122063,3
Ohio,Portage,162382,2
Ohio,Columbiana,101310,4
Ohio,Highland,43354,6
Oklahoma,Washington,52772,4
Ohio,Pickaway,59333,1
Ohio,Scioto,73346,4
Oklahoma,Harper,3180,9
North Dakota,McIntosh,2513,9
Oklahoma,Hughes,13405,9
Ohio,Clinton,42004,6
Oklahoma,Osage,45772,1
Oklahoma,Pottawatomie,73019,4
Ohio,Morgan,13682,8
Oklahoma,Caddo,26368,6
Oklahoma,Cotton,5480,3
Ohio,Auglaize,46141,4
Ohio,Lucas,429191,2
Ohio,Stark,373834,2
Oregon,Curry,23683,7
Ohio,Jackson,32511,7
Ohio,Lawrence,57445,2
Oklahoma,Logan,50885,1
Oklahoma,Lincoln,33829,1
Oklahoma,Canadian,161737,1
North Dakota,Ramsey,11572,7
Oklahoma,Garvin,25804,6
Oklahoma,Marshall,15594,9
North Dakota,Slope,690,9
North Dakota,Sheridan,1268,8
Oklahoma,Jackson,24777,7
Oklahoma,Oklahoma,798575,1
Georgia,Ware,36033,5
Indiana,Ohio,5978,1
Indiana,Owen,21446,3
Iowa,Iowa,16568,8
Iowa,Marion,33380,6
Texas,Deaf Smith,18329,6
Texas,Goliad,7163,3
Alabama,Dallas,37619,4
Alaska,Petersburg,3356,9
Alaska,Wrangell,2055,9
California,Calaveras,46221,6
Alabama,Fayette,16148,8
Arkansas,Benton,293692,2
Alabama,Calhoun,115972,3
California,Alameda,1648556,1
California,San Benito,66677,1
California,Sacramento,1588921,1
Alabama,Choctaw,12533,9
Arkansas,Jackson,16811,6
California,Plumas,19915,9
California,Monterey,437325,2
Alaska,Bristol Bay,838,9
Alaska,Haines,2071,9
Arizona,Cochise,126050,3
Alaska,Dillingham,4772,9
California,Kern,917673,2
Arkansas,Drew,17110,7
Arkansas,Monroe,6683,9
Arkansas,St. Francis,22739,6
California,Sutter,99063,3
Arizona,Pima,1052030,1
Alabama,Lawrence,33090,3
Arkansas,Washington,250057,2
Arkansas,Baxter,42144,7
Alaska,Chugach,6941,9
Alabama,Colbert,57474,3
Alabama,Cullman,89496,4
California,Mono,13247,7
Alaska,Copper River,2630,9
Alabama,Clay,14190,9
Alabama,Lamar,13689,8
Arizona,Apache,65623,8
California,San Joaquin,789410,2
California,Imperial,179851,3
Arkansas,Faulkner,125106,2
Arkansas,Clay,14350,9
Alabama,Houston,107458,3
Arkansas,Scott,9822,8
Alaska,Ketchikan Gateway,13754,7
Arkansas,Sevier,15783,6
Alabama,Morgan,123668,3
Arkansas,Jefferson,65861,4
Alabama,Randolph,21989,8
California,Merced,286461,2
Alabama,Crenshaw,13083,8
California,Nevada,103487,4
Alabama,Covington,37524,6
Alabama,Hale,14754,2
Arkansas,Chicot,10019,9
California,Lassen,33159,7
Arkansas,Conway,20873,6
Alabama,Cherokee,24996,8
California,Riverside,2458395,1
California,Mariposa,17147,8
Arkansas,Carroll,28435,6
Alabama,Talladega,81524,4
California,Sonoma,485887,2
Arizona,La Paz,16408,6
California,Tehama,65498,4
Alabama,Sumter,12164,8
Alabama,Perry,8355,8
Alabama,DeKalb,71813,6
Arkansas,Lonoke,74722,2
Alabama,Conecuh,11328,9
California,Inyo,18970,6
Arkansas,Howard,12698,8
Arkansas,Sharp,17622,9
Alabama,Dale,49342,4
California,Alpine,1235,8
California,San Francisco,815201,1
Alabama,Etowah,103162,3
Alaska,Sitka,8407,7
Arkansas,Cleburne,25015,6
Alabama,Coosa,10450,8
California,Humboldt,136310,5
Arizona,Coconino,145052,3
Alaska,Matanuska-Susitna,110686,2
Arizona,Santa Cruz,47883,6
California,Trinity,16060,8
Alaska,Aleutians West,5059,9
Arkansas,Greene,46317,4
California,Placer,412300,1
Alaska,Denali,1593,9
Alaska,Southeast Fairbanks,6970,9
California,San Diego,3286069,1
California,Colusa,21917,6
California,Santa Clara,1885508,1
Alabama,Pike,32991,6
Alaska,Kodiak Island,12787,7
Alabama,Clarke,22760,9
Alaska,Hoonah-Angoon,2332,9
Arkansas,Searcy,7880,9
Arkansas,Sebastian,128400,3
Arkansas,Arkansas,16722,6
Arkansas,Nevada,8187,9
Alabama,Bibb,22477,1
Alaska,Aleutians East,3398,9
Arkansas,Cleveland,7514,8
Arkansas,Fulton,12145,9
Alabama,Jefferson,667820,1
Arkansas,Pope,63789,5
Alabama,Washington,15147,8
Alabama,Autauga,59095,2
Arkansas,Prairie,8135,8
Alaska,Lake and Peninsula,1416,9
California,Stanislaus,552999,2
Alabama,Lauderdale,94043,3
Arkansas,Poinsett,22660,3
Arkansas,Yell,20155,9
Alabama,Coffee,54174,4
Arkansas,Garland,100330,3
Arkansas,Logan,21215,8
Alabama,Cleburne,15103,8
Alabama,Geneva,26701,3
Arizona,Mohave,217692,3
Alabama,Lee,177218,3
California,San Mateo,737888,1
Arkansas,White,77207,4
Arkansas,Dallas,6308,8
California,Siskiyou,44118,7
California,Los Angeles,9829544,1
Alabama,Madison,395211,2
Arkansas,Crittenden,47525,1
California,Contra Costa,1161413,1
Alabama,Pickens,18801,2
Arkansas,Desha,11090,9
California,Mendocino,91305,4
Arkansas,Izard,13911,9
Arkansas,Clark,21321,7
Arkansas,Polk,19353,7
Alabama,Wilcox,10446,9
Alabama,Escambia,36699,6
California,Modoc,8661,8
Arizona,Navajo,108147,4
California,Tulare,477054,2
Alaska,North Slope,10972,9
Arkansas,Lee,8619,8
California,Santa Cruz,267792,2
Arizona,Graham,39050,7
Alaska,Kusilvak,8360,9
Arkansas,Stone,12481,9
Arizona,Yuma,206990,3
California,Marin,260206,1
Arizona,Greenlee,9404,9
Alaska,Bethel,18557,7
California,Fresno,1013581,1
Alabama,Russell,58722,2
Arkansas,Little River,11944,3
Arkansas,Boone,37830,7
Arizona,Pinal,449557,1
Alabama,Mobile,413073,2
California,Santa Barbara,446475,2
Alabama,Elmore,89304,2
Arkansas,Hempstead,19694,6
Alabama,Franklin,32013,6
Arkansas,Pike,10066,9
Arkansas,Newton,7204,9
Alabama,Bullock,10320,8
Alabama,Montgomery,227434,2
Arkansas,Hot Spring,33148,6
Alabama,Tuscaloosa,227007,2
Arkansas,Saline,125233,2
Arkansas,Craighead,112218,3
California,El Dorado,193221,1
Arkansas,Ouachita,22306,7
Arkansas,Montgomery,8611,8
Alaska,Juneau,31973,5
Alaska,Northwest Arctic,7560,9
Alabama,Marengo,18996,6
Alabama,Limestone,107517,2
Arkansas,Woodruff,6116,9
Arkansas,Cross,16681,6
Alabama,Greene,7629,2
California,Del Norte,28100,7
California,Sierra,3283,8
Alabama,Chilton,45274,1
Arkansas,Lincoln,13037,9
California,Shasta,182139,3
California,Butte,208309,3
Alabama,Barbour,24964,6
Arkansas,Lawrence,16292,6
California,San Luis Obispo,283159,2
California,Solano,451716,2
Arizona,Yavapai,242253,3
Arizona,Maricopa,4496588,1
Arkansas,Ashley,18674,7
Arkansas,Franklin,17173,8
Arkansas,Pulaski,397821,2
California,Orange,3167809,1
Arkansas,Madison,16960,2
Alabama,Marshall,98228,4
Alaska,Yakutat,704,9
Arkansas,Bradley,10408,7
Arkansas,Miller,42649,3
Alabama,Butler,18884,6
California,Kings,153443,3
Arkansas,Calhoun,4741,9
Arkansas,Phillips,15906,7
Georgia,Spalding,67909,1
Alabama,Henry,17459,3
Alaska,Anchorage,288121,2
Alaska,Nome,9865,9
Alaska,Kenai Peninsula,59767,7
Arkansas,Grant,18090,2
California,San Bernardino,2194710,1
California,Glenn,28805,6
Alaska,Fairbanks North Star,95593,3
Arkansas,Marion,16978,9
Arkansas,Johnson,25845,7
Alabama,Winston,23652,8
Alaska,Skagway,1132,9
Alabama,Chambers,34541,6
Arkansas,Randolph,18865,7
California,Lake,68766,4
California,Madera,159410,1
Arkansas,Mississippi,39661,4
Arkansas,Independence,37723,7
Alabama,Marion,29246,9
Arkansas,Columbia,22672,7
Alabama,Lowndes,9965,2
Alabama,Blount,59041,1
Alabama,Baldwin,239294,3
Alaska,Prince of Wales-Hyder,5729,9
California,Napa,136207,3
Alabama,Shelby,226902,1
Arizona,Gila,53589,4
Arkansas,Crawford,60378,3
Alabama,Macon,18895,3
Arkansas,Union,38340,7
Alabama,St. Clair,92748,1
Arkansas,Lafayette,6163,8
Alabama,Monroe,19648,8
California,Amador,41259,6
Georgia,Taylor,7799,8
Georgia,Gordon,58237,4
Georgia,Stewart,5341,2
Alabama,Walker,64818,1
Arkansas,Van Buren,15694,8
Alabama,Jackson,52773,6
Alaska,Yukon-Koyukuk,5275,8
Alabama,Tallapoosa,41023,6
Arkansas,Perry,9964,2
Georgia,Upson,27720,6
Illinois,Schuyler,6843,9
Idaho,Caribou,7111,8
Georgia,Wayne,30380,6
Idaho,Ada,511931,2
Illinois,Calhoun,4369,1
Indiana,Cass,37563,4
Illinois,Stark,5294,2
Illinois,Union,16923,6
Georgia,Wilkes,9513,8
Indiana,Pike,12144,8
Indiana,Perry,19316,7
Idaho,Blaine,24766,7
Idaho,Power,7950,8
Kansas,Linn,9747,1
California,Tuolumne,55810,4
Iowa,Jefferson,15647,7
Kansas,Jewell,2937,9
Kansas,Smith,3576,9
Indiana,White,24651,6
Iowa,Page,15197,6
Kentucky,Bell,23858,7
Kansas,Haskell,3668,9
Kansas,Meade,4022,9
Iowa,Worth,7385,9
Georgia,Putnam,22585,8
Georgia,Marion,7440,2
Colorado,Grand,15860,9
Georgia,Carroll,121968,1
Colorado,Baca,3514,9
Georgia,McIntosh,11123,3
Georgia,Sumter,29283,6
Georgia,Stephens,26865,7
Colorado,Chaffee,20074,6
Georgia,Elbert,19579,6
Georgia,Seminole,9197,8
Georgia,Richmond,205673,2
Delaware,Sussex,247527,4
Georgia,Banks,18562,8
Delaware,Kent,184149,3
Georgia,Oconee,43023,3
Georgia,Crisp,19879,6
Georgia,Greene,19536,8
Georgia,Jefferson,15524,8
Georgia,Bryan,46938,2
Colorado,Las Animas,14633,7
Georgia,Lincoln,7749,2
Georgia,Candler,11037,9
Colorado,Crowley,6012,8
Colorado,Douglas,368990,1
Georgia,Rabun,17119,9
Colorado,Clear Creek,9446,1
Georgia,Dade,16326,2
Colorado,La Plata,56250,6
Georgia,Baldwin,43781,4
Georgia,Newton,115355,1
Georgia,Clarke,128711,3
Colorado,Kiowa,1452,9
Georgia,Jenkins,8639,9
Georgia,Randolph,6287,8
Florida,Collier,385980,2
Georgia,Lamar,19080,6
Colorado,Phillips,4512,9
Georgia,Evans,10672,8
Colorado,Rio Blanco,6476,9
Colorado,Dolores,2397,9
Georgia,Schley,4478,8
Colorado,Denver,711463,1
Colorado,Jackson,1363,9
Georgia,Chattooga,24932,6
Georgia,Peach,28417,3
Georgia,Cobb,766802,1
Colorado,Boulder,329543,2
Georgia,Polk,43496,4
Colorado,San Miguel,8074,9
Georgia,Twiggs,7856,3
Georgia,Bibb,156762,3
Georgia,Walker,68510,2
Colorado,San Juan,733,9
Colorado,Pitkin,17348,7
Colorado,El Paso,737867,2
Georgia,Gilmer,32026,6
Colorado,Custer,5045,8
Georgia,Early,10619,8
Georgia,Lanier,9907,3
Colorado,Eagle,55727,5
Georgia,Union,25521,8
Georgia,Macon,12004,8
Georgia,Taliaferro,1558,8
Colorado,Gilpin,5873,1
Florida,Sarasota,447057,2
Georgia,Laurens,49547,4
Georgia,Clay,2882,9
Colorado,Delta,31661,6
Georgia,Muscogee,205617,2
Georgia,Echols,3699,3
Florida,Indian River,163662,3
Georgia,Burke,24310,2
Georgia,Walton,99853,1
Georgia,Dougherty,84844,3
Florida,Jackson,47694,6
Georgia,Screven,14105,8
Georgia,Coffee,43386,7
Florida,Washington,25436,3
Georgia,Talbot,5742,2
Georgia,Miller,5919,9
Georgia,Thomas,45842,4
Colorado,Pueblo,169622,3
Florida,Escambia,322390,2
Colorado,Cheyenne,1707,9
District of Columbia,District of Columbia,670050,1
Georgia,Jones,28400,3
Georgia,Baker,2819,8
Georgia,Camden,55664,4
Georgia,Hall,207369,3
Colorado,Adams,522140,1
Georgia,Clayton,297100,1
Georgia,Decatur,29038,6
Colorado,Lake,7407,9
Georgia,Houston,166829,3
Colorado,Washington,4861,9
California,Ventura,839784,2
Georgia,Jackson,80286,4
Florida,Okeechobee,40266,4
Florida,Hillsborough,1478194,1
Colorado,Larimer,362533,2
Georgia,Henry,245235,1
Georgia,Lumpkin,34278,1
Colorado,Elbert,27128,1
Colorado,Costilla,3625,9
Georgia,Dodge,19759,7
Georgia,Dooly,10885,8
Colorado,Conejos,7612,9
Colorado,Hinsdale,781,9
Georgia,Brantley,18101,3
Colorado,Lincoln,5688,8
Georgia,Terrell,8964,3
Georgia,Lowndes,119276,3
Georgia,Coweta,149956,1
Georgia,Troup,69720,4
Georgia,Pickens,34024,1
Colorado,Moffat,13185,7
Georgia,Columbia,159639,2
Colorado,Prowers,11996,7
Georgia,Rockdale,94082,1
Georgia,Pulaski,9917,8
Georgia,Tift,41212,5
Georgia,Bleckley,12607,6
Georgia,Long,17152,3
Colorado,Weld,340036,2
Colorado,Garfield,62161,5
Georgia,Montgomery,8653,9
Georgia,Bulloch,82442,4
Georgia,Quitman,2243,8
Georgia,DeKalb,757718,1
Georgia,Brooks,16270,3
Florida,Madison,18288,8
Georgia,Forsyth,260206,1
Georgia,Bartow,110843,1
Florida,Gilchrist,18360,2
Georgia,Oglethorpe,15140,3
Georgia,Butts,25781,1
Georgia,Pike,19477,1
Georgia,Berrien,18147,8
Georgia,Floyd,98771,3
Colorado,Rio Grande,11408,9
Georgia,Fulton,1065334,1
Georgia,Catoosa,68397,2
Colorado,Otero,18594,6
Georgia,Gwinnett,964546,1
Georgia,Barrow,86658,1
Colorado,Fremont,49661,4
Colorado,Gunnison,17281,7
Georgia,Hart,26409,6
Florida,Manatee,412703,2
Georgia,Hancock,8630,9
Colorado,Arapahoe,654900,1
Colorado,Park,17720,1
Florida,Palm Beach,1497987,1
Colorado,Summit,30941,5
Georgia,Colquitt,45812,6
Georgia,Haralson,30572,1
Georgia,Pierce,19976,8
Florida,Baker,28715,1
Georgia,Glascock,2919,9
Florida,Okaloosa,213255,2
Georgia,Douglas,145814,1
Colorado,Montezuma,26175,6
Georgia,Mitchell,21521,6
Colorado,Logan,21487,6
Colorado,Huerfano,6920,8
Georgia,Treutlen,6306,9
Colorado,Broomfield,75325,1
Georgia,Crawford,12153,3
Florida,Hamilton,13993,8
Georgia,Franklin,23785,8
Georgia,Towns,12875,9
Georgia,Calhoun,5509,8
Georgia,Effingham,66741,2
Colorado,Montrose,43168,5
California,Yuba,83421,3
Georgia,Atkinson,8391,9
Georgia,Glynn,84739,3
Colorado,Morgan,29008,6
Florida,Seminole,470093,1
Georgia,McDuffie,21633,2
Georgia,Bacon,11079,9
Georgia,Chatham,296329,2
Georgia,Cook,17225,6
Georgia,Heard,11565,1
Florida,Lafayette,8382,9
Georgia,Grady,25918,6
Florida,Hendry,40313,4
Georgia,Meriwether,20793,1
Colorado,Archuleta,13790,7
Florida,Liberty,7900,8
Georgia,Madison,30885,3
Georgia,Toombs,26911,7
Georgia,Chattahoochee,9048,2
Georgia,Irwin,9618,9
Colorado,Jefferson,579581,1
Florida,DeSoto,34408,6
Georgia,Dawson,28497,1
Florida,Clay,222361,1
Florida,Santa Rosa,193998,2
Florida,Lake,395804,1
Florida,Broward,1930983,1
Georgia,Habersham,46774,6
Georgia,Murray,39951,3
Florida,Osceola,403282,1
Florida,Charlotte,194843,3
Delaware,New Castle,571708,1
Florida,Gulf,14363,8
Georgia,Fannin,25817,8
Colorado,Yuma,9941,9
Florida,Marion,385915,2
Florida,Wakulla,34690,2
Colorado,Bent,5759,9
Georgia,Charlton,12766,8
Georgia,Clinch,6725,8
Georgia,Emanuel,22716,7
Georgia,Jasper,15278,1
Florida,Holmes,19784,8
Georgia,Telfair,12414,9
Georgia,Morgan,20635,1
Georgia,Cherokee,274615,1
Florida,St. Lucie,343579,2
Florida,Dixie,17102,8
Georgia,Ben Hill,17158,7
Florida,Citrus,158083,3
Colorado,Mesa,157335,3
Colorado,Alamosa,16547,7
California,Yolo,216986,1
Florida,Calhoun,13641,8
Florida,Martin,159942,2
Georgia,Appling,18488,7
Florida,St. Johns,292466,1
Georgia,Paulding,173780,1
Colorado,Saguache,6471,9
Florida,Flagler,120932,2
Georgia,Tattnall,23052,8
Colorado,Mineral,924,9
Georgia,Johnson,9160,9
Georgia,Monroe,28712,3
Florida,Union,16335,8
Georgia,Liberty,65711,3
Colorado,Routt,25091,7
Georgia,Lee,33411,3
Florida,Sumter,135638,3
Florida,Levy,44158,2
Georgia,Fayette,120574,1
Florida,Columbia,70385,4
Colorado,Ouray,5035,9
Georgia,Turner,8966,9
Florida,Suwannee,44485,6
Florida,Pinellas,956615,1
Florida,Lee,787976,2
Georgia,Harris,35626,2
Florida,Gadsden,43714,2
Florida,Monroe,82170,4
Florida,Franklin,12572,8
Florida,Taylor,21815,6
Colorado,Teller,24926,2
Colorado,Kit Carson,6950,9
Florida,Hernando,200638,1
Florida,Putnam,74167,4
Florida,Highlands,103296,3
Colorado,Sedgwick,2336,9
Florida,Bradford,28540,6
Florida,Jefferson,14555,2
Georgia,Jeff Davis,14872,9
Florida,Miami-Dade,2662777,1
Florida,Leon,292817,2
Florida,Pasco,584067,1
Florida,Hardee,25425,6
Florida,Walton,80069,2
Florida,Polk,753520,2
Florida,Volusia,564412,2
Florida,Orange,1422746,1
Florida,Glades,12234,8
Florida,Nassau,94189,1
Florida,Alachua,279238,2
Florida,Bay,179168,3
Florida,Brevard,616628,2
Florida,Duval,999935,1
Pennsylvania,Cameron,4459,9
South Dakota,Brule,5242,9
South Carolina,Pickens,132229,2
Pennsylvania,Blair,121767,3
South Carolina,Dillon,28087,6
Rhode Island,Kent,170715,1
South Dakota,Aurora,2748,9
Pennsylvania,Mifflin,46136,4
South Carolina,Oconee,79203,4
South Dakota,Miner,2314,8
Pennsylvania,Huntingdon,43889,6
South Dakota,Marshall,4304,9
Pennsylvania,Erie,269011,2
Oregon,Wheeler,1451,9
Tennessee,Grundy,13622,8
South Dakota,Dewey,5246,9
Tennessee,Cheatham,41523,1
South Dakota,Perkins,2819,9
South Carolina,Horry,365579,2
Pennsylvania,Monroe,169273,4
Tennessee,Bledsoe,15234,8
South Carolina,Kershaw,66130,2
South Carolina,Barnwell,20580,8
South Dakota,Custer,8609,3
South Carolina,Aiken,170776,2
Pennsylvania,Cumberland,262919,2
Pennsylvania,Potter,16259,9
Pennsylvania,Venango,49938,4
Tennessee,Chester,17504,3
South Dakota,Clay,15150,6
South Dakota,Jones,879,9
South Dakota,Walworth,5248,9
South Dakota,Stanley,3032,9
South Carolina,Williamsburg,30484,6
Oregon,Yamhill,108239,1
Pennsylvania,Greene,35369,6
South Carolina,Spartanburg,335864,2
Pennsylvania,Lehigh,375539,2
Tennessee,Fentress,18850,8
South Carolina,York,288595,1
South Dakota,Harding,1327,9
Rhode Island,Washington,130592,1
South Dakota,Charles Mix,9163,9
Pennsylvania,Northumberland,91266,4
South Dakota,Brown,38101,5
South Dakota,Hughes,17694,7
Pennsylvania,Juniata,23297,8
Pennsylvania,York,458696,2
South Dakota,Mellette,1908,9
South Carolina,Richland,418307,2
Pennsylvania,Crawford,83351,4
South Dakota,Hand,3095,9
Pennsylvania,Fayette,126931,1
South Dakota,Meade,30173,3
South Dakota,Yankton,23297,7
South Carolina,Greenville,533834,2
South Dakota,Day,5414,9
South Carolina,Sumter,104758,3
Oregon,Umatilla,79988,4
South Carolina,Chesterfield,43268,6
South Carolina,Chester,32209,1
South Carolina,Florence,136504,3
South Carolina,Laurens,67803,2
Pennsylvania,Lancaster,553652,2
South Dakota,Campbell,1380,9
South Dakota,McCook,5695,2
Tennessee,Anderson,77576,2
Tennessee,Jefferson,55624,3
South Carolina,Lexington,300137,2
Oregon,Wallowa,7545,9
Pennsylvania,Montgomery,860578,1
Pennsylvania,Centre,157527,3
South Carolina,Darlington,62755,3
Tennessee,Dickson,55292,1
South Dakota,Gregory,3977,9
South Carolina,Charleston,413024,2
Pennsylvania,Lawrence,85497,1
Tennessee,Greene,70621,4
South Carolina,Newberry,37996,6
South Dakota,Beadle,19121,7
South Carolina,Marion,28784,6
South Carolina,Berkeley,236701,2
South Dakota,Faulk,2137,9
South Dakota,Hyde,1236,9
Tennessee,Humphreys,19211,8
South Dakota,Turner,8708,2
South Carolina,Edgefield,26153,2
South Dakota,Roberts,10163,9
South Carolina,Anderson,206908,2
Tennessee,Cumberland,62451,4
South Dakota,Union,16872,3
South Dakota,Douglas,2821,9
Tennessee,Haywood,17694,6
Tennessee,Hardeman,25426,6
Tennessee,Crockett,13979,3
South Dakota,Jackson,2878,9
Pennsylvania,Tioga,40929,8
Oregon,Polk,89164,2
Pennsylvania,Lycoming,113605,3
Tennessee,Cannon,14553,1
Pennsylvania,Chester,538649,1
Tennessee,Hickman,25307,1
Pennsylvania,Susquehanna,38389,8
South Dakota,Sanborn,2378,9
Pennsylvania,Delaware,573849,1
Tennessee,Hamblen,64468,3
South Dakota,Hutchinson,7411,8
