STATE_NAME,COUNTY_NAME,TOTAL_POPULATION,RUCC
Utah,Salt Lake,1186421,1
Texas,Rockwall,116381,1
Texas,Robertson,16958,2
Virginia,Madison,13942,8
Virginia,Covington,5717,6
Virginia,Galax,6660,6
Virginia,Rappahannock,7407,1
Virginia,Powhatan,31136,1
Utah,Cache,137417,3
Texas,Wichita,130069,3
Virginia,Bath,4114,9
Washington,Adams,20621,6
Utah,Millard,13164,9
Vermont,Washington,59969,4
Utah,Daggett,976,9
Virginia,Williamsburg,15590,1
Virginia,Tazewell,39925,7
Texas,Washington,35891,6
Virginia,Surry,6530,1
Virginia,Pulaski,33759,3
Virginia,Mathews,8546,1
Virginia,Lee,21983,8
Vermont,Bennington,37312,6
Texas,Terry,11754,6
Virginia,Hampton,137746,1
Vermont,Addison,37260,6
Utah,Tooele,76640,1
Texas,Wise,71714,1
Virginia,Amelia,13268,1
Virginia,Harrisonburg,51430,3
Virginia,Washington,53635,2
Texas,San Saba,5827,9
Washington,Whatcom,228831,3
Wisconsin,Kenosha,168732,3
Washington,Jefferson,33605,6
Washington,Kittitas,45499,4
Washington,Cowlitz,111524,3
Wisconsin,Sheboygan,117747,3
West Virginia,Raleigh,73771,3
West Virginia,Tucker,6672,9
Wisconsin,Dane,563951,2
West Virginia,Summers,11908,8
Wisconsin,Pierce,42587,1
Wyoming,Big Horn,11632,9
Wyoming,Platte,8699,8
Wisconsin,Grant,52110,6
West Virginia,Doddridge,7735,9
Wisconsin,Juneau,26802,8
West Virginia,Randolph,27806,7
Washington,Pacific,23948,7
Washington,Skamania,12170,1
West Virginia,Ritchie,8383,8
Washington,Lewis,84398,4
West Virginia,Calhoun,6176,8
Wisconsin,Crawford,16075,6
Wisconsin,Polk,45431,8
Wisconsin,Marathon,137648,3
West Virginia,Braxton,12247,8
Wyoming,Sublette,8697,9
West Virginia,Webster,8249,9
Wyoming,Uinta,20635,7
West Virginia,Lewis,16892,9
Wisconsin,Taylor,19923,8
West Virginia,Marion,56001,4
Washington,Skagit,130696,3
Washington,San Juan,18557,9
West Virginia,Berkeley,126069,2
Wisconsin,Langlade,19502,6
Wisconsin,Menominee,4289,9
Washington,Kitsap,274314,2
West Virginia,Mingo,23005,8
Wisconsin,Eau Claire,106452,3
Wyoming,Sheridan,31646,7
West Virginia,Mercer,59097,4
West Virginia,Lincoln,20126,8
Washington,Stevens,47426,2
Wisconsin,Waukesha,408756,1
Wisconsin,Sauk,65697,4
Washington,Snohomish,833540,1
Washington,Walla Walla,62682,3
Wisconsin,Buffalo,13302,8
Wyoming,Washakie,7705,9
Wisconsin,Marinette,41875,6
Washington,Pend Oreille,13886,8
Wisconsin,Dodge,89313,4
West Virginia,Wyoming,21051,8
Wisconsin,Green Lake,19229,6
West Virginia,Pocahontas,7841,9
Wisconsin,Rock,164381,3
Wisconsin,Milwaukee,928059,1
West Virginia,Roane,13898,8
Wisconsin,Calumet,52539,3
West Virginia,McDowell,18363,9
West Virginia,Wetzel,14170,7
West Virginia,Tyler,8155,9
Wyoming,Sweetwater,41614,5
Washington,Pierce,925708,1
Wyoming,Teton,23575,7
Wisconsin,Jackson,21121,8
Wyoming,Carbon,14649,7
Washington,Garfield,2346,8
West Virginia,Pleasants,7601,8
Wisconsin,Marquette,15792,8
Wisconsin,Price,14050,9
West Virginia,Brooke,22140,3
Wyoming,Lincoln,20153,9
West Virginia,Nicholas,24300,8
Washington,Douglas,43696,3
Wyoming,Natrona,79555,3
Wisconsin,Barron,46719,6
West Virginia,Wood,83624,3
Wyoming,Johnson,8623,9
Washington,Spokane,546040,2
Washington,Mason,67615,4
Wisconsin,Racine,196896,3
Washington,Whitman,47873,4
Washington,Yakima,256035,2
Wisconsin,Fond du Lac,104362,3
West Virginia,Fayette,39927,3
West Virginia,Mineral,26857,7
Wisconsin,Ozaukee,92497,1
West Virginia,Hampshire,23302,3
Wisconsin,Oneida,38259,7
Wisconsin,Pepin,7364,8
Wisconsin,Shawano,40859,6
Wisconsin,Manitowoc,81505,4
Wyoming,Laramie,100863,3
West Virginia,Ohio,41776,3
Washington,Wahkiakum,4582,8
Wisconsin,Forest,9258,9
Wisconsin,Ashland,16107,7
Wisconsin,Walworth,106799,4
Wisconsin,Douglas,44203,2
West Virginia,Wirt,5063,3
West Virginia,Cabell,93418,2
Wisconsin,Iowa,23756,2
Wisconsin,Dunn,45547,6
West Virginia,Preston,34358,3
West Virginia,Marshall,30115,3
Wisconsin,Washington,137175,1
West Virginia,Putnam,57260,2
Wisconsin,Green,36988,2
West Virginia,Jackson,27738,8
West Virginia,Logan,31909,6
Washington,Thurston,297977,2
Wisconsin,Rusk,14123,8
Wyoming,Goshen,12537,7
